product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,brand,stock,seller_name
P0021,uXdcnliIPTKR,Books,28745,44222,35,4.9,3882,Adidas,191,RetailHub
P0022,simyxclgOKfj,Sports,8724,23577,63,2.4,4804,Puma,269,RetailHub
P0023,IejAtIHqkrdF,Books,20705,39065,47,1,2801,Apple,65,BestMart
P0024,pRQcDvWhFDmN,Fashion,19955,21228,6,4,504,Philips,7,ValueStore
P0025,YfRrkXmNXesG,Toys,13394,36198,63,1.9,3052,Sony,140,BestMart
P0026,GFDqEmLLEZZV,Fashion,13253,25004,47,3.4,3366,Puma,228,RetailHub
P0027,hNBqPNpozPns,Books,19168,35496,46,1.8,4930,Apple,171,BestMart
P0028,aWOAvyQkbTWE,Sports,17649,49025,64,5,4567,Apple,141,BestMart
P0029,YvTJZkKWCIhx,Beauty,5206,13013,60,1.3,2691,Adidas,412,BestMart
P0030,qYAkSTYpylck,Fashion,11316,37718,70,1.9,1383,Adidas,415,BestMart
P0031,vOLJTmUUovFm,Fashion,13919,42176,67,3.6,2798,Adidas,433,RetailHub
P0032,nAEzqiYepGgJ,Home,16650,19137,13,2.2,342,Nike,90,BestMart
P0033,COqLbhPevmQB,Home,3277,6425,49,4.9,1733,Puma,180,PrimeSeller
P0034,QrNDGosxZqwL,Sports,42307,48076,12,1.7,4154,Philips,133,PrimeSeller
P0035,kyAZQnynmGkG,Toys,27561,32424,15,3.1,2460,Apple,8,RetailHub
P0036,YFlrVKsraCTx,Beauty,24265,35166,31,2.3,427,Adidas,390,RetailHub
P0037,PxoMlKdCwgHI,Beauty,27145,47622,43,1.8,2937,Nike,90,PrimeSeller
P0038,rgxVyhyoOnmU,Electronics,3060,7649,60,2.9,4309,Nike,231,ValueStore
P0039,BUnzorUBKnzz,Books,17688,24566,28,1.2,2036,Sony,215,RetailHub
P0040,CVoOGbVKdKpV,Sports,16110,17322,7,4.4,1938,Samsung,265,ShopGalaxy
P0041,antSxYFkEvTz,Sports,10177,12410,18,4.6,2781,Adidas,493,ShopGalaxy
P0042,KAIDujcAfrVa,Sports,13085,39651,67,4.8,4249,Puma,193,RetailHub
P0043,AasMerXYaUuG,Home,17823,49508,64,4.6,186,LG,175,RetailHub
P0044,ESeXknUkREhw,Sports,32330,35141,8,3.1,4603,Samsung,22,RetailHub
P0045,xJhArQDgEyrl,Toys,24430,28406,14,1.4,708,Sony,261,ValueStore
P0046,oBljVHLVfpqQ,Fashion,19381,39553,51,2,3465,LG,222,PrimeSeller
P0047,tNJHZoTMyULc,Fashion,17576,33799,48,2.8,4103,Apple,103,BestMart
P0048,gMcoTEUttNbg,Books,14928,28165,47,4.4,352,Sony,496,ValueStore
P0049,YWnGEMjOlmsI,Toys,10968,33235,67,2.8,1022,Philips,96,ShopGalaxy
P0050,QWplLbKLcSyb,Home,7442,19082,61,2.6,1663,Philips,246,PrimeSeller
P0051,UNMCmnzDJRlX,Home,8087,9862,18,4,2505,LG,231,BestMart
P0052,pxqSFzAIELcg,Sports,19334,31183,38,3,4465,Philips,70,BestMart
P0053,BvNtERxlIMfO,Sports,376,1210,69,2,282,Apple,69,RetailHub
P0054,tUGhAPZmctwX,Home,36556,43006,15,3.3,1971,Adidas,78,ValueStore
P0055,SlMCNKwvLvTB,Home,19044,43280,56,3.2,4616,Apple,169,RetailHub
P0056,JykryQnmRerD,Beauty,8509,23635,64,3.1,2977,Philips,49,ValueStore
P0057,YqXCtdUYmLIR,Toys,31212,39014,20,3.6,292,LG,103,ShopGalaxy
P0058,JdpylCbDinpq,Beauty,7252,12949,44,4.3,2960,Puma,285,ShopGalaxy
P0059,CkIzSvjLyrTk,Beauty,31711,34097,7,1.2,3743,Samsung,173,BestMart
P0060,ZMfBOPIDdmKE,Sports,8898,10851,18,1.8,1464,Nike,156,BestMart
P0061,kMuVItINfCjB,Books,12910,19861,35,5,1663,Puma,177,RetailHub
P0062,NnlRvYRcLors,Books,42802,47035,9,4.2,1695,Nike,104,ValueStore
P0063,GEkAlpEICnaz,Books,18344,30572,40,1.1,2708,LG,20,PrimeSeller
P0064,YkffGLXgYCbZ,Books,22532,25316,11,1.7,753,Apple,332,ShopGalaxy
P0065,GfqxTFMtLotb,Books,10825,24054,55,1.1,4588,Nike,219,ShopGalaxy
P0066,tsHeKRXRIJyo,Home,3661,11807,69,3.8,841,Puma,134,ValueStore
P0067,OryohrbgqhcG,Home,3533,5697,38,2.5,4860,Samsung,284,RetailHub
P0068,pUmUexwASCNE,Electronics,9500,19386,51,4.7,2466,Philips,255,RetailHub
P0069,gNnmzTRKJuUt,Home,11199,26664,58,1.2,1019,Samsung,160,ValueStore
P0070,IFofgxYzJMEk,Books,20937,28292,26,4.9,92,Samsung,276,ShopGalaxy
P0071,ECPbiNAeRFfM,Electronics,8696,22295,61,1.7,2873,Adidas,22,RetailHub
P0072,kEnCFyVWyAhe,Home,16963,18239,7,4.1,3334,Adidas,289,RetailHub
P0073,xFZENtdLYyQJ,Books,24166,25437,5,1,2060,Apple,3,ValueStore
P0074,nqosxYXdNdmv,Sports,1908,4146,54,1.1,2169,Philips,435,PrimeSeller
P0075,QfXkgsQLtWlu,Sports,1711,4173,59,2.3,201,Puma,394,ShopGalaxy
P0076,hePoATYNHuAO,Toys,6562,14264,54,5,712,Apple,314,BestMart
P0077,AycGSGXRvAxX,Electronics,20814,22380,7,1.5,256,Nike,335,ValueStore
P0078,AIUFSeqUixba,Electronics,15041,48518,69,1.5,2608,Nike,329,ShopGalaxy
P0079,qdwqpdIqKXHH,Sports,31552,48541,35,3.5,3208,Samsung,167,PrimeSeller
P0080,PNVhbcVGSpvo,Beauty,39310,47938,18,3.1,1587,Nike,357,ShopGalaxy
P0081,JtWddHYZxtGe,Fashion,4510,11868,62,3.3,579,Adidas,343,RetailHub
P0082,tyNbTmKScIdo,Toys,4681,6784,31,4.8,3758,Adidas,297,ValueStore
P0083,UydfdwIriOiZ,Electronics,37419,40235,7,2,136,Puma,424,PrimeSeller
P0084,wUBMXfHNjHDi,Home,9054,17082,47,2.6,188,Samsung,417,ShopGalaxy
P0085,ubWMPXAOISNS,Toys,10788,18925,43,1.9,73,Apple,449,ValueStore
P0086,eDsQVizDPIxo,Toys,20816,22382,7,2.7,2204,Nike,449,RetailHub
P0087,uuaXShxDsJjI,Sports,16874,20088,16,4.5,3530,Sony,73,PrimeSeller
P0088,vrrxAIghtrQy,Toys,13212,40034,67,4.1,4028,Adidas,211,ShopGalaxy
P0089,acwvqemAdExo,Home,7850,11376,31,4.1,2008,Nike,292,RetailHub
P0090,FLRdrRoDfgGM,Beauty,19154,31399,39,2.7,1573,Nike,459,RetailHub
P0091,qiQQqHydaRIW,Sports,21420,28560,25,1.2,1006,Apple,329,ShopGalaxy
P0092,GextztlqInTN,Fashion,21645,49192,56,2.7,4950,Adidas,135,ShopGalaxy
P0093,XnBuxfYaBiIT,Toys,21942,23849,8,3.9,2830,LG,196,BestMart
P0094,iBUZpbiPDkiS,Beauty,28635,36711,22,2.3,883,Adidas,189,BestMart
P0095,VmIlBJsHfrLp,Electronics,45249,49183,8,4.5,3443,Apple,432,RetailHub
P0096,onDdbQcNycUi,Sports,8895,12353,28,3,1912,Sony,39,ShopGalaxy
P0097,dLogZFtCeelC,Books,7261,16134,55,4.7,2863,Philips,53,ValueStore
P0098,ClxfMgtKBzMd,Home,12983,40569,68,4.7,1492,Adidas,292,PrimeSeller
P0099,eJKbQpDPKNYN,Books,4091,6198,34,4.4,3803,Philips,22,ShopGalaxy
P0100,uYEXKUPrZNNm,Fashion,13173,14636,10,2.1,244,Nike,338,BestMart
P0101,EyIQVLDKxqoH,Toys,3478,4764,27,3.9,4884,LG,384,PrimeSeller
P0102,pkwTPafhhXtd,Books,24254,26363,8,4.9,4378,Apple,468,ShopGalaxy
P0103,bqZnzBlYtmVN,Books,12609,24723,49,4.2,2810,Philips,304,ValueStore
P0104,xSvvVghkrvbN,Sports,4885,7515,35,4.9,651,Philips,128,ValueStore
P0105,vuargSzYCYBv,Fashion,23128,31682,27,1.7,3969,Sony,142,BestMart
P0106,BZUWJOLxHVgS,Electronics,18729,25655,27,4,3254,Apple,426,RetailHub
P0107,FJfDovCVPVlB,Home,20868,35979,42,2.7,2833,Adidas,484,ValueStore
P0108,rsyVQFptLKyP,Books,11724,33495,65,4.7,3783,Puma,94,PrimeSeller
P0109,rPJtvmqdXaCa,Sports,7542,20949,64,3.2,2313,LG,384,ShopGalaxy
P0110,ypGeMLDjnhnZ,Home,2649,3153,16,3.9,2893,Nike,300,ShopGalaxy
P0111,TkNNzNyWDjcQ,Beauty,12739,13998,9,4.9,4942,LG,0,PrimeSeller
P0112,uswQnPxygTPG,Sports,14211,37396,62,3.7,3252,Philips,382,RetailHub
P0113,zrJncKeSmxjF,Home,17186,38190,55,2.5,3783,LG,383,RetailHub
P0114,MrZHLNsgKMyx,Beauty,29382,37192,21,2.9,4729,Adidas,425,RetailHub
P0115,ycFrhCiVhfAV,Beauty,6990,9574,27,2.5,187,Puma,379,BestMart
P0116,FQihIbZizHxB,Electronics,27162,30865,12,4,790,Samsung,493,ShopGalaxy
P0117,RDBMyvlykiaF,Sports,445,684,35,4.7,68,Apple,64,PrimeSeller
P0118,TMPuEhiSbruP,Sports,617,1814,66,3.7,4480,LG,474,PrimeSeller
P0119,btSFWwJXMjcN,Electronics,10342,14988,31,4.7,2570,Samsung,65,ValueStore
P0120,lOJvSKsLXUvh,Electronics,4970,8568,42,1.6,1446,Sony,219,PrimeSeller
P0121,PBpojuPgTaaT,Fashion,3503,6145,43,3.6,4710,Philips,175,RetailHub
P0122,yvPWLqzWUURn,Toys,15146,30291,50,4.1,2417,Nike,79,PrimeSeller
P0123,pnLYYYzJKHJH,Toys,11086,29962,63,4.6,3317,Apple,161,ValueStore
P0124,YENtlbIRfMJK,Home,2004,4173,52,2,1742,LG,46,BestMart
P0125,LvcaZnpLWGnc,Fashion,545,1396,61,4.4,3641,Sony,493,BestMart
P0126,tUSTZzurlFhk,Fashion,6401,8768,27,4.3,1205,Apple,43,PrimeSeller
P0127,nupbFeclfjkS,Electronics,22942,28323,19,3,1383,Adidas,147,RetailHub
P0128,XbbtAkTgXXuI,Books,10867,18736,42,4.1,872,Adidas,487,ValueStore
P0129,magRXdjGMvAH,Books,22260,48391,54,2,4941,LG,82,RetailHub
P0130,DROwtyMQuTpN,Electronics,12873,21818,41,4,3404,Puma,395,ShopGalaxy
P0131,vOikmjVwmVHj,Books,11728,19546,40,1.3,1384,Apple,73,ValueStore
P0132,RjMcEEzjptyr,Electronics,5268,15049,65,3,2964,Nike,454,RetailHub
P0133,TSNOAxhQzOwR,Sports,21463,23078,7,3.7,454,Nike,362,ShopGalaxy
P0134,GQOKgQwTwJGM,Books,4130,12905,68,2,3309,Samsung,447,BestMart
P0135,uXUdagGDKwht,Home,26359,28343,7,4.7,3761,Philips,114,ValueStore
P0136,lQIisXnjddXJ,Toys,23936,47872,50,3.1,3325,Puma,191,PrimeSeller
P0137,uaQLbwswFTyU,Books,8224,9452,13,1.6,4948,Puma,227,RetailHub
P0138,XHHHcqvqFFni,Home,6266,16489,62,4.3,3335,Apple,9,ShopGalaxy
P0139,UhwYUtOZJMmW,Fashion,2396,5572,57,1.6,587,Philips,67,ShopGalaxy
P0140,EVbXwBSzmYXh,Books,42076,49501,15,4.9,2014,Adidas,92,PrimeSeller
P0141,iAWCtzcypUmn,Toys,5138,12844,60,2.4,283,Philips,16,ValueStore
P0142,lCZdogprGxlo,Electronics,18345,22931,20,3.9,366,Adidas,199,ShopGalaxy
P0143,UNDZKFKKeaiF,Beauty,11767,34607,66,2,668,Sony,390,RetailHub
P0144,AIUHAfCsZMQR,Electronics,40758,47393,14,4.7,3705,LG,331,ValueStore
P0145,mMSDROItCfjc,Electronics,20876,25151,17,3,3353,Sony,300,RetailHub
P0146,DhBEnUDInRaF,Toys,19490,24362,20,1.7,1031,Nike,393,ShopGalaxy
P0147,eAdnaejrGRui,Sports,13415,17651,24,2.3,2392,Nike,146,ShopGalaxy
P0148,yROELpRLtUJf,Beauty,9333,31108,70,3.7,3112,Sony,268,BestMart
P0149,usXwOQfzjjvU,Toys,10144,27416,63,3.5,774,Puma,133,ValueStore
P0150,ALuQMANzGhhJ,Toys,14754,22354,34,4.7,2380,Apple,28,ShopGalaxy
P0151,xrrHrfssFPwr,Beauty,6976,12683,45,4.4,4753,Nike,112,RetailHub
P0152,WcOxKYaojitZ,Home,13863,19525,29,1.7,910,Samsung,377,PrimeSeller
P0153,RdVuBWTLvkSQ,Beauty,4103,4508,9,2.2,2199,Puma,43,ShopGalaxy
P0154,eMsEJnGOWcMZ,Sports,31550,45724,31,3,714,Sony,401,BestMart
P0155,NBpzYQNsaPva,Sports,37159,48258,23,2,200,Apple,18,PrimeSeller
P0156,MmHftqlTBJJi,Electronics,9828,13650,28,1.3,1936,Puma,170,ValueStore
P0157,mmwfHEeMhRBY,Beauty,27851,35254,21,3.1,1402,Nike,204,BestMart
P0158,OrhXfuxktdJN,Fashion,17285,28335,39,1.9,1196,Adidas,97,ValueStore
P0159,GDqGfavXckcU,Electronics,1141,1481,23,3.2,688,Adidas,173,RetailHub
P0160,UvoMHLAEPKIp,Books,21841,29514,26,2,2491,Puma,132,PrimeSeller
P0161,jqTOPTGfowuQ,Sports,3511,9002,61,2.8,517,LG,171,RetailHub
P0162,CUhbxWyNvARQ,Toys,18564,29466,37,2.1,3599,Philips,91,RetailHub
P0163,udrgjIgfMSiO,Beauty,26997,32922,18,3.2,1830,Puma,49,PrimeSeller
P0164,HIRNkPSnNBos,Beauty,15005,20276,26,2.8,1722,Puma,144,ShopGalaxy
P0165,evTMhEwsyKWs,Electronics,5628,12505,55,4.1,86,Apple,201,BestMart
P0166,bwiSRrMgAHWP,Fashion,1039,1332,22,4.5,1465,Puma,375,ValueStore
P0167,bJAozaaowGnM,Sports,16317,29137,44,2.7,2527,Samsung,52,RetailHub
P0168,CvwqZDwDApZq,Sports,801,1128,29,2,1523,Puma,32,ShopGalaxy
P0169,apnhdYyaWfKZ,Beauty,34734,48241,28,2.6,1796,Puma,399,ShopGalaxy
P0170,JflBxMklpyen,Books,21182,24347,13,3.7,1157,Apple,353,BestMart
P0171,HSHKBcPyspEG,Fashion,17833,41470,57,2.5,1276,Samsung,414,RetailHub
P0172,xlrCbGGKsGEv,Sports,13854,23885,42,1.4,2078,LG,355,RetailHub
P0173,AjYzcquYkjdO,Sports,15062,20919,28,4.1,4827,LG,241,ValueStore
P0174,jtpiBzSVnsxs,Books,3716,6635,44,2.8,1614,Puma,449,BestMart
P0175,RjiHLCJVTbqM,Fashion,26975,29320,8,4.9,4072,LG,60,PrimeSeller
P0176,qWlWiyfokMUQ,Toys,222,461,52,4.9,2177,Philips,25,BestMart
P0177,iCEIFjuGVqMS,Sports,25877,28127,8,4.6,2687,LG,295,BestMart
P0178,ErKQEFcHvhnG,Beauty,19318,41994,54,3.2,4075,LG,376,BestMart
P0179,ORTEIcqTyysG,Sports,20939,22514,7,1.3,4314,Puma,310,BestMart
P0180,NJQgqAZKHOpg,Home,24737,47571,48,4.7,1534,Samsung,243,BestMart
P0181,lXIKzNvmHWnW,Fashion,14995,27768,46,4.9,1641,Apple,303,PrimeSeller
P0182,xOrjBBnJibOm,Sports,21997,28201,22,3.4,551,LG,337,PrimeSeller
P0183,AklwvnykDPeK,Beauty,105,350,70,2.1,1087,Sony,401,RetailHub
P0184,qbAJxBAkkbxw,Books,24383,46005,47,4.4,4225,Philips,493,ValueStore
P0185,rTDApPOMoeET,Books,1705,2749,38,5,1962,Samsung,422,ShopGalaxy
P0186,TYyzaWwoHCXN,Fashion,18716,34659,46,2.8,2136,Sony,127,RetailHub
P0187,BhGkDxpOQmNR,Sports,25218,28019,10,3.3,4885,Puma,3,RetailHub
P0188,gEfXKTppOQbC,Fashion,1559,1901,18,1.2,3869,Puma,469,PrimeSeller
P0189,SSxDYYsEIefc,Beauty,2901,5920,51,1.2,216,Apple,405,BestMart
P0190,LPJSNvOOOnRX,Books,5487,15239,64,4.8,1810,Puma,165,PrimeSeller
P0191,OsYnMQsyzBnl,Beauty,18357,21100,13,3.8,3866,Puma,341,ShopGalaxy
P0192,DgabSWnHRKzQ,Home,20444,42591,52,3.1,247,Sony,336,BestMart
P0193,yscOiknOcnbN,Beauty,11473,13991,18,2.6,2227,Apple,422,ShopGalaxy
P0194,MNUhqswHAexL,Beauty,42332,46518,9,2.9,3115,Nike,339,ValueStore
P0195,BqdpxbtidrZe,Books,42327,46513,9,4.8,1111,Adidas,478,BestMart
P0196,FGDIzgZbksPE,Toys,178,204,13,3.5,1186,Apple,4,BestMart
P0197,TNZshbLsEsMp,Beauty,8445,12239,31,2.2,2963,Puma,482,ValueStore
P0198,uHHeLpkCPXyr,Home,10413,11569,10,4.5,2069,Samsung,96,ShopGalaxy
P0199,dfKmETyHhNYL,Beauty,5369,10129,47,4.2,2171,Sony,191,RetailHub
P0200,IgkHdOkzMZwR,Electronics,10784,33700,68,2.3,4199,Puma,400,RetailHub
P0201,zEctBupVGpOC,Fashion,35003,43213,19,3.5,2823,LG,161,PrimeSeller
P0202,ngCJPnceRllz,Electronics,139,446,69,2.3,2507,LG,87,PrimeSeller
P0203,rJwZlJpirlLE,Electronics,3632,6602,45,2.3,4883,Nike,301,BestMart
P0204,XyxDLbEJzjkX,Sports,1098,3327,67,4.6,2556,LG,133,ValueStore
P0205,GKPggCDtEaUO,Fashion,15448,45434,66,3.7,2723,LG,441,ValueStore
P0206,cACpoXyamKSb,Books,5123,17076,70,3.8,3112,Sony,165,RetailHub
P0207,nkDFpauJiyMb,Home,16966,19959,15,4.8,2118,Apple,172,BestMart
P0208,IVHMNHyzUHxv,Home,2053,2974,31,2.7,1614,Samsung,310,RetailHub
P0209,zGnkgvwpMYey,Home,37803,40648,7,2.6,4722,Philips,380,RetailHub
P0210,eInyYjAMCNFt,Toys,15734,29685,47,2.8,1655,Sony,254,PrimeSeller
P0211,ANQRmOnAriDQ,Electronics,26125,28396,8,4.5,551,Nike,492,BestMart
P0212,kXmseOZUzIDl,Sports,19859,44131,55,4.9,4154,Apple,499,RetailHub
P0213,vJduqmGvJdtq,Toys,33020,38846,15,2.1,4766,Sony,142,ShopGalaxy
P0214,XeFKkkiqNFcu,Books,37701,41889,10,2.1,72,Apple,460,RetailHub
P0215,uzBSTRwwxoRS,Fashion,26808,29139,8,1.1,4848,Nike,117,RetailHub
P0216,NbBfMOFJzFXB,Sports,25494,36947,31,4.5,1368,Samsung,343,BestMart
P0217,OcTpzBvsVqHq,Toys,32551,45846,29,2.4,2084,LG,284,PrimeSeller
P0218,LrrXVpVVggfR,Toys,27216,46128,41,5,4692,Adidas,3,ValueStore
P0219,urQnnWcgpNuh,Beauty,13523,15543,13,1.6,705,Nike,237,BestMart
P0220,KoqbRArxegXL,Electronics,22785,31211,27,1.8,4940,Sony,480,RetailHub
P0221,TJVvFnBmrnvg,Electronics,10664,28821,63,1.6,727,Puma,294,RetailHub
P0222,lbWszrgYnZRl,Beauty,14005,33343,58,4,3625,Samsung,167,ShopGalaxy
P0223,PkdUtLsscrrz,Electronics,862,2329,63,4.3,3215,Samsung,176,RetailHub
P0224,ZyxbhqaNxXtW,Home,20222,29306,31,2,4521,Sony,318,BestMart
P0225,JgpfzlJQeRiX,Fashion,721,792,9,3.4,568,Philips,460,ValueStore
P0226,DvqMZoHndlST,Sports,4208,4524,7,1.5,2717,Samsung,27,RetailHub
P0227,ifkLRwxtlzan,Home,2252,3950,43,4,972,Adidas,482,ValueStore
P0228,rhznsMEzWxwC,Electronics,14542,24647,41,3.1,3940,LG,44,PrimeSeller
P0229,uTNOdoYLFDQs,Beauty,7155,14906,52,1.6,404,Apple,248,BestMart
P0230,qULWkhrzinJi,Beauty,13057,20725,37,3.4,1860,Philips,97,ShopGalaxy
P0231,FeRxFfLKMoTe,Beauty,10459,29051,64,4.9,1321,Nike,323,PrimeSeller
P0232,UtdzoesfbRdZ,Books,10084,27254,63,1.2,353,Sony,105,ValueStore
P0233,xBLgXwQkJPgY,Toys,24016,36947,35,2.1,3664,Nike,275,ShopGalaxy
P0234,fjKLiNymtdkP,Sports,11724,18909,38,2.8,1913,Puma,354,ValueStore
P0235,OuPSDmgZYafg,Fashion,17435,23560,26,3.1,3977,Nike,117,BestMart
P0236,UoCbCptQGvsh,Home,8682,12057,28,4.7,4750,LG,166,BestMart
P0237,DrnMnRenMdHr,Fashion,36435,46711,22,2.5,441,LG,377,ShopGalaxy
P0238,EhDQNFFKZjLr,Fashion,10914,22272,51,3.6,4314,Sony,96,RetailHub
P0239,pjurfQwwgaoD,Toys,19617,25811,24,4.7,1475,Nike,132,RetailHub
P0240,vMqOFEPvSlVV,Fashion,20812,27384,24,2.4,4851,Puma,90,ValueStore
P0241,XHCtvdsvgMep,Home,11715,12596,7,2.1,402,Philips,118,ShopGalaxy
P0242,aByvuJbMfVVe,Sports,8736,25692,66,2.2,4982,LG,431,PrimeSeller
P0243,MikAmZxUIATC,Fashion,17595,26659,34,2.5,2705,Apple,128,RetailHub
P0244,FRgMbIOsnaAk,Beauty,24012,48023,50,4.6,4113,Philips,383,PrimeSeller
P0245,mfyIWoKJTSyQ,Fashion,10373,23051,55,3.6,1390,Philips,25,ValueStore
P0246,kKHMqfwyoDxW,Electronics,25229,27422,8,3.6,568,Sony,348,ShopGalaxy
P0247,bXyigzLpliAM,Books,13574,21545,37,1.7,2383,Adidas,200,ShopGalaxy
P0248,tcRfVXYDhcfe,Electronics,1406,2196,36,4,1227,Adidas,182,BestMart
P0249,NkCwaWQlEVno,Fashion,28669,36755,22,4.3,3048,Samsung,274,ValueStore
P0250,KnmqhafkWeSR,Fashion,9492,23730,60,3,714,Apple,244,PrimeSeller
P0251,UetBSSbdDAGQ,Beauty,19856,46176,57,2.2,4386,Adidas,411,BestMart
P0252,ftPpGgbgzupO,Electronics,2078,4328,52,1.4,4098,LG,193,RetailHub
P0253,fcEsVXyNBLAV,Toys,20981,23056,9,2.6,3181,LG,433,PrimeSeller
P0254,CZaDRIvFcGhs,Books,32300,42499,24,2.2,363,Nike,342,RetailHub
P0255,FRnZEYUADodr,Electronics,20767,31464,34,2.6,2609,Samsung,234,BestMart
P0256,heDZzeNUuGdZ,Sports,4097,7316,44,3.6,3717,LG,305,RetailHub
P0257,OZNscJeCGMAA,Sports,13922,14654,5,4.7,4656,Samsung,150,BestMart
P0258,BZPjrSgqNaKj,Toys,1578,1924,18,1.1,3826,Adidas,33,RetailHub
P0259,TxpASWiwKJcF,Home,3962,9662,59,1,4600,Sony,105,ValueStore
P0260,YVbzWZcWhlAz,Books,15159,16843,10,3.2,902,Sony,246,RetailHub
P0261,tjiqzntckBkQ,Books,12268,32282,62,3.3,3423,Philips,100,RetailHub
P0262,mSsRyWHCGFfx,Fashion,14505,31532,54,3.3,1605,Nike,171,PrimeSeller
P0263,LDNwgEKXsptl,Home,15626,18602,16,1.1,4035,Sony,102,ValueStore
P0264,xqmwVFJtswxq,Beauty,1105,1363,19,4.1,1396,Nike,269,PrimeSeller
P0265,AGBgurCrtvrw,Books,10930,23759,54,2.1,2467,Samsung,410,BestMart
P0266,BnafmhOTSfpI,Books,2150,2287,6,3.6,2560,Nike,273,PrimeSeller
P0267,wRKZnXPgrVHl,Beauty,9924,10786,8,2.5,4641,Adidas,331,ValueStore
P0268,FlQzCfZnLODk,Beauty,25609,35567,28,1.1,1185,LG,178,ValueStore
P0269,GXOoDfRWHgdg,Sports,728,1819,60,3.9,3757,Sony,388,BestMart
P0270,SjnapabBDgYb,Sports,9010,10987,18,1.6,2002,Nike,7,PrimeSeller
P0271,NIHbfWCLVeUM,Home,24958,39615,37,3.8,1635,Puma,331,ValueStore
P0272,SzHfRPjifsuD,Home,10127,26648,62,2.4,4261,Apple,69,RetailHub
P0273,CyQOjEGDoKhq,Toys,22517,24475,8,3.7,522,Adidas,248,RetailHub
P0274,kuuSDTOBdhfB,Home,25872,34041,24,4.8,3165,Nike,230,ShopGalaxy
P0275,rwpxGTuwkOYG,Home,16478,20343,19,3.3,4049,Philips,328,ShopGalaxy
P0276,JzuyQbSAbpSF,Electronics,38216,41539,8,1.6,3226,Apple,242,PrimeSeller
P0277,AkyLuRcQUgaV,Books,2460,4641,47,2.9,1184,Sony,440,RetailHub
P0278,RxDhKRsVUcGc,Toys,11032,33429,67,2.2,4083,LG,18,RetailHub
P0279,CpxPaihKAkvB,Fashion,2794,4656,40,3.7,175,Apple,357,ShopGalaxy
P0280,aaLmJCutUpAx,Electronics,850,1024,17,3,3625,Nike,413,ValueStore
P0281,TbDMbbzCBvkG,Toys,8084,25262,68,3.7,828,Apple,204,ShopGalaxy
P0282,wNGCcpahNEQc,Home,21229,25889,18,3.3,1186,Puma,39,ShopGalaxy
P0283,aAPKNGAHIXbZ,Sports,18876,24199,22,4.3,3119,Apple,442,BestMart
P0284,sfmdelqxvzFE,Sports,17276,23345,26,2.8,2723,LG,132,PrimeSeller
P0285,BrEJnRcTTWlG,Sports,26431,36206,27,3.2,3979,LG,446,RetailHub
P0286,yYAwohYrHtpm,Books,20843,47370,56,1.3,1685,LG,312,BestMart
P0287,OVJiXhzWJVGC,Books,29339,32598,10,4.7,3105,Nike,4,RetailHub
P0288,YvBMWZTcHbfH,Fashion,165,350,53,2.6,2095,Philips,274,RetailHub
P0289,CBOIJLjQtIgY,Sports,20075,25736,22,4.3,135,LG,78,BestMart
P0290,IAUXwqmqQoZN,Toys,14304,43345,67,4.9,1635,Nike,82,ShopGalaxy
P0291,MywpLNYMYghK,Home,7516,17081,56,3.9,2811,Puma,324,RetailHub
P0292,dgRLDypFLnjq,Fashion,11948,22125,46,1.8,576,Philips,13,PrimeSeller
